departureStation,arrivalStation,departureTime,arrivingTime,distance,basePrice,trainType,tier
Milano Centrale,Roma Termini,08:00,12:30,570,50,FrecciaRossa,Economy
Torino Porta Nuova,Venezia S. Lucia,07:15,11:00,410,40,Intercity,Business
Firenze S. M. Novella,Napoli Centrale,09:00,12:15,470,45,FrecciaRossa,PrimaClasse
Bologna Centrale,Milano Centrale,06:45,08:15,215,25,Regionale,Economy
Genova Brignole,Torino Porta Nuova,10:30,12:45,170,20,Regionale,Business
Roma Termini,Firenze S. M. Novella,14:00,15:30,275,30,Intercity,Economy
Napoli Centrale,Bari Centrale,16:20,19:30,265,28,Intercity,PrimaClasse
Venezia S. Lucia,Trieste Centrale,11:00,13:00,160,18,Regionale,Economy
Milano Centrale,Zurigo HB,13:00,16:30,280,35,FrecciaRossa,Business
Roma Termini,Palermo Centrale,21:00,07:30,920,60,Intercity,Economy
